#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.33257    -5.33257           0
           2    -5.33017    -5.33137  0.00084596
           3    -5.32626    -5.32967  0.00149963
           4    -5.32084    -5.32746   0.0022179
           5     -5.3139    -5.32475  0.00300618
           6    -5.30543    -5.32153  0.00386204
           7    -5.29543     -5.3178  0.00478225
           8     -5.2839    -5.31356  0.00576388
           9    -5.27082    -5.30881  0.00680447
          10    -5.25617    -5.30355  0.00790202
          11    -5.23995    -5.29777  0.00905491
          12    -5.22214    -5.29147   0.0102619
          13    -5.20223     -5.2846    0.011542
          14    -5.18118    -5.27721   0.0128663
          15    -5.15846     -5.2693   0.0142374
          16    -5.13311    -5.26079   0.0156869
          17    -5.10653    -5.25171   0.0171894
          18    -5.07797    -5.24206   0.0187496
          19    -5.04812    -5.23185   0.0203525
          20    -5.01599    -5.22106   0.0220115
          21    -4.98226    -5.20969   0.0237195
          22    -4.94617    -5.19771    0.025487
          23    -4.90888    -5.18515   0.0272978
          24    -4.86844    -5.17195   0.0291763
          25    -4.82623    -5.15813   0.0311143
          26    -4.78247    -5.14368   0.0331027
          27    -4.73589    -5.12857   0.0351537
          28    -4.68765    -5.11283   0.0372587
          29    -4.63675    -5.09641   0.0394249
          30    -4.58386    -5.07933   0.0416484
          31    -4.52893    -5.06157   0.0439266
          32    -4.47119    -5.04312   0.0462664
          33     -4.4113    -5.02398    0.048665
          34    -4.34897    -5.00412   0.0511231
          35    -4.28488    -4.98357   0.0536338
          36    -4.21827    -4.96231   0.0561993
          37    -4.14861    -4.94032   0.0588262
          38    -4.07633    -4.91759   0.0615154
          39    -4.00117    -4.89409   0.0642695
          40    -3.92284    -4.86981   0.0670929
          41    -3.84229    -4.84474   0.0699807
          42      -3.759    -4.81889   0.0729331
          43    -3.67346    -4.79226    0.075946
          44    -3.58517    -4.76482   0.0790197
          45    -3.49485     -4.7366   0.0821489
          46    -3.40109    -4.70757   0.0853393
          47    -3.30558    -4.67774   0.0885836
          48    -3.20766    -4.64711   0.0918801
          49     -3.1069    -4.61568     0.09523
          50    -3.00288    -4.58342   0.0986371
          51    -2.89689    -4.55035    0.102096
          52    -2.78855    -4.51647    0.105605
          53    -2.67702    -4.48177    0.109167
          54    -2.56459    -4.44626    0.112771
          55    -2.44949    -4.40996    0.116417
          56    -2.33333    -4.37287    0.120099
          57    -2.21653    -4.33504    0.123807
          58    -2.09639    -4.29645    0.127547
          59    -1.97625    -4.25712    0.131308
          60    -1.85462    -4.21708    0.135087
          61     -1.7327    -4.17635    0.138876
          62     -1.6095    -4.13495    0.142674
          63    -1.48574     -4.0929    0.146475
          64    -1.36333    -4.05025    0.150268
          65    -1.24057    -4.00703    0.154047
          66    -1.11794    -3.96325     0.15781
          67   -0.995904    -3.91896     0.16155
          68   -0.873709    -3.87418    0.165265
          69   -0.753741    -3.82896    0.168944
          70   -0.634523    -3.78332    0.172584
          71   -0.516986    -3.73732    0.176178
          72   -0.401321    -3.69098    0.179721
          73   -0.287721    -3.64436    0.183206
          74   -0.174687    -3.59748    0.186633
          75  -0.0640866    -3.55036    0.189998
          76   0.0429397    -3.50308    0.193291
          77    0.147423    -3.45567    0.196509
          78    0.249435    -3.40817    0.199649
          79    0.349052    -3.36061    0.202707
          80    0.444909    -3.31304    0.205679
          81    0.538295     -3.2655    0.208563
          82    0.628098    -3.21801    0.211356
          83    0.714171    -3.17064    0.214053
          84      0.7971     -3.1234    0.216654
          85    0.877236    -3.07634    0.219158
          86    0.952291    -3.02949    0.221559
          87     1.02264    -2.98292    0.223855
          88     1.08987    -2.93663    0.226045
          89     1.15222    -2.89069    0.228126
          90     1.21107    -2.84512    0.230098
          91     1.26565    -2.79994    0.231962
          92     1.31475    -2.75522    0.233712
          93     1.36028    -2.71097    0.235352
          94     1.40157    -2.66722    0.236879
          95     1.43938    -2.62399    0.238298
          96     1.47212    -2.58132    0.239605
          97     1.50183    -2.53923    0.240804
          98     1.52793    -2.49772    0.241897
          99     1.55033    -2.45684    0.242884
         100     1.56899    -2.41658    0.243769
         101     1.58389    -2.37697    0.244552
         102     1.59549    -2.33802    0.245236
         103     1.60427    -2.29975    0.245824
         104     1.61122    -2.26214     0.24632
         105     1.61538    -2.22521    0.246727
         106     1.61872    -2.18895     0.24705
         107     1.61834    -2.15337     0.24729
         108     1.61717    -2.11846    0.247452
         109     1.61423    -2.08421     0.24754
         110     1.61098    -2.05062    0.247559
         111     1.60713    -2.01767    0.247512
         112     1.60146    -1.98535    0.247403
         113     1.59558    -1.95366    0.247234
         114     1.59013    -1.92258    0.247012
         115     1.58455    -1.89208     0.24674
