#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47102    -5.47102           0
           2    -5.46911    -5.47007 0.000675464
           3    -5.47026    -5.47013 0.000453233
           4    -5.46443     -5.4687  0.00127988
           5    -5.46771    -5.46851  0.00103924
           6    -5.46374    -5.46771  0.00112911
           7    -5.47031    -5.46808  0.00102713
           8    -5.46895    -5.46819 0.000904472
           9    -5.46971    -5.46836 0.000819546
          10    -5.45983    -5.46751  0.00109483
          11    -5.46908    -5.46765  0.00100463
          12    -5.46622    -5.46753 0.000927991
          13    -5.46482    -5.46732 0.000879666
          14    -5.45555    -5.46648  0.00115041
          15    -5.46595    -5.46645  0.00107427
          16    -5.46426    -5.46631  0.00101582
          17    -5.46337    -5.46614 0.000970726
          18    -5.46632    -5.46615 0.000916847
          19    -5.46146     -5.4659 0.000901107
          20     -5.4674    -5.46598 0.000859168
          21    -5.46915    -5.46613 0.000831482
          22    -5.46487    -5.46607 0.000795654
          23    -5.46791    -5.46615 0.000765058
          24    -5.46965     -5.4663 0.000746963
          25    -5.46365    -5.46619  0.00072455
          26    -5.45799    -5.46587  0.00076222
          27     -5.4652    -5.46585 0.000734404
          28    -5.46454     -5.4658 0.000709666
          29    -5.46195    -5.46567 0.000697547
          30    -5.46089    -5.46551 0.000692261
          31    -5.46168    -5.46539 0.000680887
          32    -5.45687    -5.46512 0.000709765
          33     -5.4634    -5.46507 0.000690177
          34    -5.46663    -5.46511 0.000671403
          35    -5.46341    -5.46506 0.000653983
          36    -5.45928     -5.4649 0.000655293
          37    -5.45427    -5.46462 0.000697818
          38    -5.46399     -5.4646 0.000679651
          39    -5.46925    -5.46472 0.000672619
          40    -5.45813    -5.46455 0.000675679
