# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.08203e-05 4.35811e-06
    0.884913  0.00110356 4.06725e-05
    0.910562   0.0226151 0.000212824
    0.936212    0.159514 0.000488561
    0.961861    0.558474 0.000888564
    0.987511     1.19696  0.00152334
     1.01316     1.86294  0.00234019
     1.03881     2.34404  0.00269115
     1.06446     2.56258  0.00280691
     1.09011     2.56382  0.00223065
     1.11576     2.41649  0.00171917
     1.14141     2.20433  0.00208481
     1.16706     1.97346  0.00208569
     1.19271     1.75465  0.00208412
     1.21836     1.55658  0.00203744
     1.24401     1.38671  0.00203156
     1.26966     1.24099  0.00157061
     1.29531     1.11902  0.00175308
     1.32096     1.01919  0.00158604
     1.34661    0.934808  0.00143852
     1.37226    0.868634  0.00115366
     1.39791    0.814583  0.00114109
     1.42355    0.769358  0.00120254
      1.4492    0.734991  0.00108305
     1.47485    0.709841  0.00104304
      1.5005    0.691956  0.00132005
     1.52615    0.678035  0.00125721
      1.5518    0.671792   0.0011152
     1.57745    0.671668 0.000969187
      1.6031    0.675331 0.000904243
     1.62875    0.686149  0.00105686
      1.6544    0.703198  0.00102958
     1.68005    0.724459 0.000944293
      1.7057     0.74998  0.00106657
     1.73135    0.782356 0.000808136
       1.757    0.818568  0.00098105
     1.78265    0.853781  0.00105081
      1.8083    0.896286  0.00124834
     1.83395    0.938589   0.0010816
      1.8596    0.980631  0.00123214
     1.88525      1.0208  0.00112689
      1.9109      1.0617  0.00104292
     1.93655     1.09867 0.000976799
      1.9622     1.13345  0.00103668
     1.98785     1.16117  0.00103547
      2.0135     1.18679  0.00105737
     2.03915     1.20531 0.000877478
      2.0648     1.21353 0.000839408
     2.09045      1.2147   0.0010014
      2.1161     1.20843  0.00113771
     2.14174     1.19412  0.00109526
     2.16739     1.17517  0.00105424
     2.19304     1.15068  0.00117931
     2.21869     1.12202  0.00101692
     2.24434     1.09222 0.000928597
     2.26999     1.06316  0.00109782
     2.29564     1.03361  0.00101036
     2.32129     1.00775 0.000863879
     2.34694    0.983154 0.000748906
     2.37259     0.96141 0.000903768
     2.39824    0.940348 0.000943084
     2.42389    0.924025 0.000957622
     2.44954    0.911673 0.000719057
     2.47519    0.902935 0.000701096
     2.50084    0.895655 0.000853168
     2.52649    0.892105 0.000619141
     2.55214    0.891651 0.000767573
