#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46988    -5.46988           0
           2    -5.47184    -5.47086 0.000694351
           3    -5.46967    -5.47046 0.000565867
           4    -5.46692    -5.46958 0.000877258
           5    -5.46561    -5.46878 0.000998194
           6     -5.4719     -5.4693 0.000957806
           7    -5.47052    -5.46948 0.000836524
           8      -5.469    -5.46942 0.000734053
           9    -5.47002    -5.46948 0.000655562
          10     -5.4724    -5.46978  0.00065183
          11    -5.47535    -5.47028  0.00076434
          12    -5.47144    -5.47038 0.000706755
          13    -5.47234    -5.47053 0.000668262
          14    -5.46576    -5.47019 0.000702076
          15    -5.48103    -5.47091  0.00095742
          16    -5.47634    -5.47125 0.000955838
          17    -5.45616    -5.47036  0.00124554
          18    -5.47083    -5.47039  0.00117661
          19    -5.47018    -5.47038  0.00111473
          20    -5.47005    -5.47036  0.00105912
          21    -5.46903     -5.4703  0.00101057
          22    -5.47227    -5.47039 0.000968599
          23    -5.46467    -5.47014 0.000957898
          24    -5.46985    -5.47013 0.000918059
          25    -5.47334    -5.47026 0.000890271
          26     -5.4651    -5.47006 0.000877802
          27    -5.46564    -5.46989 0.000860383
          28     -5.4656    -5.46974 0.000843196
          29    -5.47927    -5.47007 0.000875808
          30    -5.46797       -5.47 0.000849412
          31    -5.46939    -5.46998 0.000822237
          32    -5.46751     -5.4699 0.000800151
          33    -5.46872    -5.46987  0.00077671
          34    -5.47195    -5.46993 0.000756272
          35    -5.46674    -5.46984 0.000740111
          36     -5.4743    -5.46996 0.000729857
          37    -5.46697    -5.46988 0.000714592
          38    -5.46367    -5.46972 0.000714227
          39    -5.46475    -5.46959  0.00070719
          40    -5.47569    -5.46974  0.00070575
