#   N_BLOCK:  ACCEPTANCE:
           1    0.510875
           2    0.510639
           3    0.510522
           4    0.510367
           5    0.510439
           6    0.510395
           7    0.510509
           8     0.51051
           9    0.510475
          10    0.510299
          11    0.510302
          12    0.510327
          13     0.51027
          14    0.510161
          15    0.510202
          16    0.510189
          17    0.510153
          18    0.510178
          19     0.51015
          20     0.51012
          21    0.510107
          22    0.510107
          23    0.510101
          24     0.51013
          25    0.510129
          26    0.510074
          27    0.510093
          28    0.510099
          29    0.510085
          30    0.510067
          31    0.510068
          32    0.510044
          33    0.510029
          34     0.51004
          35    0.510031
          36    0.510025
          37    0.510005
          38    0.510004
          39    0.510017
          40    0.510001
