# Block Mean Error
1 -0.446611 0
2 -0.449905 0.00329367
3 -0.449119 0.00205752
4 -0.446493 0.00300208
5 -0.44567 0.00246687
6 -0.442984 0.0033568
7 -0.441888 0.0030415
8 -0.442608 0.00273059
9 -0.440594 0.00313886
10 -0.440438 0.00281182
11 -0.44162 0.00280438
12 -0.441773 0.00256462
13 -0.441959 0.00236642
14 -0.441429 0.00225412
15 -0.440835 0.0021809
16 -0.440945 0.00204305
17 -0.440788 0.00192558
18 -0.440602 0.00182486
19 -0.44129 0.00185793
20 -0.4406 0.00189289
21 -0.441354 0.00195199
22 -0.441936 0.00195029
23 -0.442578 0.00197103
24 -0.442754 0.00189526
25 -0.442566 0.00182758
26 -0.442317 0.00177343
27 -0.442451 0.00171177
28 -0.442548 0.00165235
29 -0.442151 0.00164317
30 -0.442011 0.00159359
31 -0.442165 0.00154904
32 -0.441995 0.00150954
33 -0.441899 0.0014662
34 -0.441759 0.00142934
35 -0.441701 0.00138909
36 -0.441638 0.00135144
37 -0.441992 0.00136129
38 -0.442296 0.00135941
39 -0.442138 0.00133345
40 -0.442362 0.00131886
41 -0.44258 0.00130461
42 -0.44265 0.00127507
43 -0.442734 0.00124792
44 -0.442673 0.00122079
45 -0.4427 0.00119367
46 -0.442708 0.00116746
47 -0.442774 0.00114429
48 -0.442856 0.00112317
49 -0.44293 0.00110246
50 -0.443107 0.00109467
51 -0.443161 0.00107437
52 -0.443125 0.00105414
53 -0.44296 0.00104702
54 -0.443126 0.0010407
55 -0.443266 0.00103119
56 -0.44342 0.00102426
57 -0.443278 0.00101622
58 -0.443455 0.00101415
59 -0.443518 0.000998801
60 -0.443546 0.000982406
61 -0.443561 0.000966294
62 -0.443429 0.000959754
63 -0.443464 0.00094504
64 -0.443457 0.00093018
65 -0.44347 0.000915854
66 -0.44357 0.00090739
67 -0.443638 0.000896297
68 -0.44376 0.000891437
69 -0.443871 0.000885459
70 -0.4439 0.000873192
71 -0.443966 0.000863294
72 -0.444021 0.000853042
73 -0.444109 0.000845834
74 -0.444117 0.000834366
75 -0.444073 0.000824336
76 -0.444009 0.00081594
77 -0.443952 0.000807324
78 -0.444062 0.00080446
79 -0.443939 0.000803657
80 -0.443857 0.000797757
81 -0.443959 0.000794404
82 -0.443882 0.000788394
83 -0.444114 0.000812565
84 -0.444139 0.000803212
85 -0.444199 0.000796011
86 -0.444138 0.000789105
87 -0.444202 0.000782612
88 -0.444176 0.000774112
89 -0.444155 0.000765629
90 -0.444149 0.000757103
91 -0.444073 0.000752532
92 -0.444003 0.000747629
93 -0.443899 0.000746743
94 -0.443913 0.000738873
95 -0.443914 0.000731055
96 -0.444075 0.000741201
97 -0.444154 0.000737785
98 -0.444161 0.000730248
99 -0.444082 0.000727111
100 -0.444014 0.000723037
