# SA_step Temperature Energy Energy_error
0 1 29.7798 0.315024
1 0.995 23.4805 0.171862
2 0.990025 23.4805 0.171862
3 0.985075 23.4805 0.171862
4 0.98015 23.7444 0.22687
5 0.975249 23.7444 0.22687
6 0.970373 23.1015 0.210931
7 0.965521 23.6569 0.199505
8 0.960693 22.6106 0.332412
9 0.95589 23.8146 0.226112
10 0.95111 23.8146 0.226112
11 0.946355 27.3184 0.357405
12 0.941623 27.4779 0.25167
13 0.936915 27.4779 0.25167
14 0.93223 27.4779 0.25167
15 0.927569 27.4779 0.25167
16 0.922931 27.4779 0.25167
17 0.918316 27.4779 0.25167
18 0.913725 24.7142 0.30915
19 0.909156 22.1269 0.233119
20 0.90461 23.4365 0.154756
21 0.900087 21.0443 0.278125
22 0.895587 21.0443 0.278125
23 0.891109 21.0126 0.20863
24 0.886654 17.8118 0.172649
25 0.88222 17.8118 0.172649
26 0.877809 16.0347 0.177504
27 0.87342 14.9156 0.230359
28 0.869053 12.8276 0.131511
29 0.864708 12.8276 0.131511
30 0.860384 13.7258 0.177814
31 0.856082 13.7258 0.177814
32 0.851802 13.7258 0.177814
33 0.847543 13.2672 0.146333
34 0.843305 13.6789 0.156313
35 0.839089 11.3363 0.138952
36 0.834893 10.8306 0.116062
37 0.830719 10.163 0.100683
38 0.826565 8.7787 0.086918
39 0.822432 8.7787 0.086918
40 0.81832 9.24166 0.143097
41 0.814229 9.24425 0.0985853
42 0.810157 9.24425 0.0985853
43 0.806107 9.24425 0.0985853
44 0.802076 9.24425 0.0985853
45 0.798066 9.24425 0.0985853
46 0.794075 9.24425 0.0985853
47 0.790105 7.86433 0.0780275
48 0.786154 7.22253 0.10499
49 0.782224 5.739 0.0686542
50 0.778313 5.739 0.0686542
51 0.774421 5.00226 0.0743695
52 0.770549 3.80453 0.0549884
53 0.766696 3.80453 0.0549884
54 0.762863 3.63789 0.0597076
55 0.759048 3.63789 0.0597076
56 0.755253 2.6519 0.0489134
57 0.751477 2.6519 0.0489134
58 0.747719 2.2648 0.0609707
59 0.743981 2.2648 0.0609707
60 0.740261 2.45834 0.0316709
61 0.73656 2.60644 0.0511557
62 0.732877 2.60644 0.0511557
63 0.729212 2.54433 0.0361124
64 0.725566 2.79713 0.0390508
65 0.721939 2.38538 0.0390279
66 0.718329 2.38538 0.0390279
67 0.714737 1.63765 0.0334637
68 0.711164 0.880225 0.0222424
69 0.707608 0.581061 0.0291805
70 0.70407 0.6987 0.0301744
71 0.700549 1.02525 0.029866
72 0.697047 1.43323 0.0345086
73 0.693561 1.43323 0.0345086
74 0.690094 1.36227 0.0357668
75 0.686643 1.21815 0.0368533
76 0.68321 1.21815 0.0368533
77 0.679794 1.21815 0.0368533
78 0.676395 1.63895 0.0303879
79 0.673013 1.91328 0.0405916
80 0.669648 2.29068 0.0346789
81 0.6663 3.15567 0.0359629
82 0.662968 1.97505 0.0390205
83 0.659653 1.49195 0.0347246
84 0.656355 1.49195 0.0347246
85 0.653073 0.948725 0.0231919
86 0.649808 0.650788 0.0202365
87 0.646559 0.373622 0.0147201
88 0.643326 0.373622 0.0147201
89 0.640109 0.373622 0.0147201
90 0.636909 0.373622 0.0147201
91 0.633724 0.786698 0.0237751
92 0.630556 1.00694 0.0185203
93 0.627403 1.11666 0.0269022
94 0.624266 1.01522 0.0204713
95 0.621145 1.10339 0.0238011
96 0.618039 1.10339 0.0238011
97 0.614949 1.10339 0.0238011
98 0.611874 1.10339 0.0238011
99 0.608815 1.10048 0.0241334
100 0.60577 0.682149 0.019153
101 0.602742 0.155555 0.00806889
102 0.599728 0.163822 0.0140091
103 0.596729 0.373296 0.0159948
104 0.593746 0.482876 0.0149538
105 0.590777 0.300333 0.0130171
106 0.587823 0.55014 0.0148498
107 0.584884 0.660766 0.0134729
108 0.581959 0.300702 0.0123064
109 0.57905 0.300702 0.0123064
110 0.576154 0.178017 0.0123656
111 0.573274 0.234945 0.011562
112 0.570407 0.358885 0.0119678
113 0.567555 0.0912016 0.00806021
114 0.564717 0.354366 0.01419
115 0.561894 0.354366 0.01419
116 0.559084 0.354366 0.01419
117 0.556289 0.628136 0.0142429
118 0.553508 0.288745 0.0115084
119 0.55074 0.288745 0.0115084
120 0.547986 -0.118336 0.00672696
121 0.545246 -0.261549 0.00514707
122 0.54252 -0.117921 0.00846083
123 0.539808 -0.0343201 0.00566951
124 0.537108 -0.263449 0.00357116
125 0.534423 -0.38286 0.00213271
126 0.531751 -0.390279 0.00192607
127 0.529092 -0.442364 0.00108159
128 0.526447 -0.421866 0.00150186
129 0.523814 -0.41635 0.00148359
130 0.521195 -0.349486 0.00258847
131 0.518589 -0.430728 0.00119727
132 0.515996 -0.430728 0.00119727
133 0.513416 -0.309998 0.00325752
134 0.510849 -0.309998 0.00325752
135 0.508295 -0.32656 0.00362323
136 0.505754 -0.33608 0.0037336
137 0.503225 -0.424945 0.0014452
138 0.500709 -0.368493 0.00233169
139 0.498205 -0.35102 0.00219311
140 0.495714 -0.336284 0.0029506
141 0.493236 -0.292658 0.00305991
142 0.490769 -0.308586 0.0029193
143 0.488316 -0.297521 0.00236394
144 0.485874 -0.270904 0.00162408
145 0.483445 -0.304449 0.00165761
146 0.481027 -0.319834 0.0018239
147 0.478622 -0.346718 0.00136599
148 0.476229 -0.361957 0.00142665
149 0.473848 -0.291909 0.00166105
150 0.471479 -0.291909 0.00166105
151 0.469121 -0.283379 0.00179043
152 0.466776 -0.354932 0.00136562
153 0.464442 -0.41942 0.00137836
154 0.46212 -0.242601 0.00317236
155 0.459809 -0.385604 0.00137326
156 0.45751 -0.31757 0.00134116
157 0.455222 -0.268363 0.0021374
158 0.452946 0.0489797 0.00371293
159 0.450682 -0.0945199 0.00305588
160 0.448428 0.0659278 0.00253567
161 0.446186 -0.0584966 0.00198146
162 0.443955 -0.274586 0.00177643
163 0.441735 -0.304613 0.00162077
164 0.439527 -0.289691 0.00130184
165 0.437329 -0.355084 0.00137228
166 0.435142 -0.416013 0.000961413
167 0.432967 -0.353751 0.00130991
168 0.430802 -0.376045 0.00118263
169 0.428648 -0.365671 0.00115312
170 0.426505 -0.317833 0.0011688
171 0.424372 -0.158211 0.00210678
172 0.42225 -0.0939244 0.00282277
173 0.420139 -0.0883707 0.00206158
174 0.418038 -0.197109 0.00171787
175 0.415948 -0.342509 0.00152915
176 0.413868 -0.344446 0.00152419
177 0.411799 -0.255294 0.00309586
178 0.40974 -0.255294 0.00309586
179 0.407691 -0.293946 0.00262064
180 0.405653 -0.293946 0.00262064
181 0.403625 -0.339895 0.00203871
182 0.401606 -0.0194463 0.00547401
183 0.399598 -0.0194463 0.00547401
184 0.3976 -0.158551 0.00230071
185 0.395612 0.21934 0.00518142
186 0.393634 0.207564 0.00513228
187 0.391666 0.207564 0.00513228
188 0.389708 -0.215442 0.00317016
189 0.387759 -0.219315 0.00189228
190 0.385821 -0.295994 0.00225234
191 0.383891 -0.378272 0.00140571
192 0.381972 -0.271876 0.00222696
193 0.380062 -0.271047 0.00200152
194 0.378162 -0.282517 0.00205721
195 0.376271 -0.391384 0.00187035
196 0.37439 -0.352817 0.00237553
197 0.372518 -0.352309 0.00238267
198 0.370655 -0.169493 0.00434981
199 0.368802 -0.384891 0.00139425
200 0.366958 -0.190036 0.00183495
201 0.365123 -0.190036 0.00183495
202 0.363297 -0.35665 0.00151338
203 0.361481 -0.35665 0.00151338
204 0.359674 -0.357026 0.00150275
205 0.357875 -0.35299 0.00157311
206 0.356086 -0.348352 0.00159274
207 0.354305 -0.408173 0.00148207
208 0.352534 -0.399309 0.00130637
209 0.350771 -0.385989 0.00113126
210 0.349017 -0.385989 0.00113126
211 0.347272 -0.385989 0.00113126
212 0.345536 -0.380763 0.00136154
213 0.343808 -0.422667 0.00110016
214 0.342089 -0.374212 0.0018297
215 0.340379 -0.301773 0.00131855
216 0.338677 -0.356139 0.00166816
217 0.336983 -0.356139 0.00166816
218 0.335298 -0.356139 0.00166816
219 0.333622 -0.258956 0.0033427
220 0.331954 -0.258956 0.0033427
221 0.330294 0.0835231 0.00440424
222 0.328643 0.0835231 0.00440424
223 0.326999 0.0835231 0.00440424
224 0.325364 0.085695 0.00440141
225 0.323738 -0.00873796 0.00329616
226 0.322119 -0.00873796 0.00329616
227 0.320508 0.0742818 0.00285598
228 0.318906 -0.189675 0.00181992
229 0.317311 -0.309308 0.00183261
230 0.315725 -0.394344 0.000923409
231 0.314146 -0.393585 0.00130093
232 0.312575 -0.327493 0.00205074
233 0.311012 -0.400129 0.0010893
234 0.309457 -0.387777 0.00111035
235 0.30791 -0.377461 0.00125375
236 0.306371 -0.4071 0.000892594
237 0.304839 -0.418624 0.000874959
238 0.303315 -0.427503 0.00123639
239 0.301798 -0.441323 0.00100249
240 0.300289 -0.403166 0.00115536
241 0.298788 -0.367554 0.0013351
242 0.297294 -0.406626 0.00117768
243 0.295807 -0.434057 0.00109893
244 0.294328 -0.427886 0.00157961
