# SA_step Temperature Mu Sigma
0 1 2 1.5
1 0.995 1.90219 1.46135
2 0.990025 1.90219 1.46135
3 0.985075 1.90219 1.46135
4 0.98015 1.85047 1.54755
5 0.975249 1.85047 1.54755
6 0.970373 1.81053 1.58533
7 0.965521 1.81678 1.60064
8 0.960693 1.79565 1.58889
9 0.95589 1.78805 1.65144
10 0.95111 1.78805 1.65144
11 0.946355 1.82481 1.70755
12 0.941623 1.85427 1.67312
13 0.936915 1.85427 1.67312
14 0.93223 1.85427 1.67312
15 0.927569 1.85427 1.67312
16 0.922931 1.85427 1.67312
17 0.918316 1.85427 1.67312
18 0.913725 1.8141 1.64988
19 0.909156 1.73267 1.67413
20 0.90461 1.7145 1.74553
21 0.900087 1.67649 1.70406
22 0.895587 1.67649 1.70406
23 0.891109 1.68822 1.68032
24 0.886654 1.65268 1.61781
25 0.88222 1.65268 1.61781
26 0.877809 1.61058 1.58964
27 0.87342 1.57806 1.56252
28 0.869053 1.53447 1.51326
29 0.864708 1.53447 1.51326
30 0.860384 1.53666 1.56432
31 0.856082 1.53666 1.56432
32 0.851802 1.53666 1.56432
33 0.847543 1.5291 1.55463
34 0.843305 1.53175 1.57751
35 0.839089 1.43763 1.55693
36 0.834893 1.38807 1.58053
37 0.830719 1.29092 1.65402
38 0.826565 1.25996 1.59427
39 0.822432 1.25996 1.59427
40 0.81832 1.30934 1.57871
41 0.814229 1.37853 1.5095
42 0.810157 1.37853 1.5095
43 0.806107 1.37853 1.5095
44 0.802076 1.37853 1.5095
45 0.798066 1.37853 1.5095
46 0.794075 1.37853 1.5095
47 0.790105 1.35592 1.43477
48 0.786154 1.31073 1.43241
49 0.782224 1.22602 1.42507
50 0.778313 1.22602 1.42507
51 0.774421 1.21513 1.37652
52 0.770549 1.1918 1.2795
53 0.766696 1.1918 1.2795
54 0.762863 1.13352 1.31401
55 0.759048 1.13352 1.31401
56 0.755253 1.06609 1.27159
57 0.751477 1.06609 1.27159
58 0.747719 0.999022 1.26944
59 0.743981 0.999022 1.26944
60 0.740261 0.934189 1.3644
61 0.73656 1.02675 1.30026
62 0.732877 1.02675 1.30026
63 0.729212 0.965766 1.3409
64 0.725566 0.893196 1.4275
65 0.721939 0.846015 1.41855
66 0.718329 0.846015 1.41855
67 0.714737 0.753986 1.3783
68 0.711164 0.656572 1.30076
69 0.707608 0.667336 1.22781
70 0.70407 0.575119 1.29728
71 0.700549 0.607893 1.35775
72 0.697047 0.659981 1.3964
73 0.693561 0.659981 1.3964
74 0.690094 0.663301 1.38002
75 0.686643 0.749292 1.31529
76 0.68321 0.749292 1.31529
77 0.679794 0.749292 1.31529
78 0.676395 0.814923 1.33785
79 0.673013 0.848524 1.35752
80 0.669648 0.894635 1.36413
81 0.6663 0.909343 1.45839
82 0.662968 0.846356 1.36684
83 0.659653 0.842248 1.28944
84 0.656355 0.842248 1.28944
85 0.653073 0.815651 1.21839
86 0.649808 0.723517 1.20708
87 0.646559 0.704204 1.15513
88 0.643326 0.704204 1.15513
89 0.640109 0.704204 1.15513
90 0.636909 0.704204 1.15513
91 0.633724 0.790669 1.19844
92 0.630556 0.826322 1.22003
93 0.627403 0.866733 1.20528
94 0.624266 0.831222 1.21855
95 0.621145 0.899453 1.18368
96 0.618039 0.899453 1.18368
97 0.614949 0.899453 1.18368
98 0.611874 0.899453 1.18368
99 0.608815 0.986342 1.10667
100 0.60577 0.945361 1.05248
101 0.602742 0.882878 0.954117
102 0.599728 0.92941 0.910556
103 0.596729 0.976398 0.935125
104 0.593746 0.957174 0.978258
105 0.590777 0.86615 1.01842
106 0.587823 0.956174 0.999634
107 0.584884 0.986754 0.998662
108 0.581959 0.989076 0.905473
109 0.57905 0.989076 0.905473
110 0.576154 0.908072 0.93472
111 0.573274 0.983794 0.88612
112 0.570407 1.02882 0.873901
113 0.567555 0.988251 0.832243
114 0.564717 1.02527 0.876711
115 0.561894 1.02527 0.876711
116 0.559084 1.02527 0.876711
117 0.556289 1.0208 0.954892
118 0.553508 0.939246 0.943881
119 0.55074 0.939246 0.943881
120 0.547986 0.847437 0.866615
121 0.545246 0.822189 0.806796
122 0.54252 0.814908 0.888141
123 0.539808 0.857718 0.893233
124 0.537108 0.831103 0.796546
125 0.534423 0.747804 0.73252
126 0.531751 0.845781 0.695453
127 0.529092 0.824937 0.619071
128 0.526447 0.840206 0.574044
129 0.523814 0.882828 0.603075
130 0.521195 0.931366 0.660369
131 0.518589 0.853168 0.604439
132 0.515996 0.853168 0.604439
133 0.513416 0.940491 0.687414
134 0.510849 0.940491 0.687414
135 0.508295 0.909635 0.710288
136 0.505754 0.842584 0.741975
137 0.503225 0.805526 0.674122
138 0.500709 0.718 0.746531
139 0.498205 0.646079 0.736728
140 0.495714 0.69526 0.78363
141 0.493236 0.641612 0.844596
142 0.490769 0.651989 0.812247
143 0.488316 0.553575 0.768
144 0.485874 0.502453 0.771846
145 0.483445 0.570259 0.710625
146 0.481027 0.589964 0.692436
147 0.478622 0.622296 0.688679
148 0.476229 0.639592 0.642351
149 0.473848 0.599647 0.565884
150 0.471479 0.599647 0.565884
151 0.469121 0.586245 0.582076
152 0.466776 0.63433 0.621203
153 0.464442 0.724703 0.585659
154 0.46212 0.671105 0.48652
155 0.459809 0.685163 0.574057
156 0.45751 0.64084 0.539428
157 0.455222 0.631241 0.509237
158 0.452946 0.553765 0.41964
159 0.450682 0.541894 0.471173
160 0.448428 0.466638 0.448431
161 0.446186 0.476333 0.518578
162 0.443955 0.565759 0.61281
163 0.441735 0.600537 0.584759
164 0.439527 0.572239 0.639846
165 0.437329 0.631671 0.680182
166 0.435142 0.712932 0.629806
167 0.432967 0.631905 0.628244
168 0.430802 0.661579 0.679617
169 0.428648 0.648018 0.614551
170 0.426505 0.619316 0.56774
171 0.424372 0.524833 0.529147
172 0.42225 0.497546 0.51904
173 0.420139 0.446143 0.59917
174 0.418038 0.518541 0.594869
175 0.415948 0.616736 0.663542
176 0.413868 0.639059 0.57874
177 0.411799 0.732651 0.486625
178 0.40974 0.732651 0.486625
179 0.407691 0.661669 0.51106
180 0.405653 0.661669 0.51106
181 0.403625 0.687797 0.527975
182 0.401606 0.663118 0.432561
183 0.399598 0.663118 0.432561
184 0.3976 0.673741 0.460636
185 0.395612 0.692229 0.401715
186 0.393634 0.727227 0.405161
187 0.391666 0.727227 0.405161
188 0.389708 0.763249 0.476834
189 0.387759 0.858869 0.486319
190 0.385821 0.839632 0.505117
191 0.383891 0.866203 0.547988
192 0.381972 0.905175 0.510987
193 0.380062 0.957916 0.531083
194 0.378162 0.858944 0.505447
195 0.376271 0.80817 0.542924
196 0.37439 0.720286 0.525129
197 0.372518 0.769627 0.519977
198 0.370655 0.788148 0.466584
199 0.368802 0.876432 0.556611
200 0.366958 0.916068 0.488079
201 0.365123 0.916068 0.488079
202 0.363297 0.902492 0.550584
203 0.361481 0.902492 0.550584
204 0.359674 0.870656 0.535192
205 0.357875 0.926592 0.560828
206 0.356086 0.872653 0.532533
207 0.354305 0.841654 0.562529
208 0.352534 0.907042 0.602276
209 0.350771 0.909472 0.583167
210 0.349017 0.909472 0.583167
211 0.347272 0.909472 0.583167
212 0.345536 0.874423 0.552039
213 0.343808 0.789664 0.567702
214 0.342089 0.695265 0.549147
215 0.340379 0.603338 0.574472
216 0.338677 0.66467 0.554922
217 0.336983 0.66467 0.554922
218 0.335298 0.66467 0.554922
219 0.333622 0.701588 0.487804
220 0.331954 0.701588 0.487804
221 0.330294 0.618997 0.414696
222 0.328643 0.618997 0.414696
223 0.326999 0.618997 0.414696
224 0.325364 0.545768 0.413322
225 0.323738 0.522662 0.44336
226 0.322119 0.522662 0.44336
227 0.320508 0.465135 0.447099
228 0.318906 0.551062 0.523422
229 0.317311 0.635637 0.534899
230 0.315725 0.703676 0.566726
231 0.314146 0.704883 0.563779
232 0.312575 0.706547 0.516797
233 0.311012 0.69468 0.589794
234 0.309457 0.683579 0.680939
235 0.30791 0.66325 0.679003
236 0.306371 0.694903 0.64204
237 0.304839 0.719416 0.645994
238 0.303315 0.743996 0.589564
239 0.301798 0.817931 0.593397
240 0.300289 0.721833 0.566224
241 0.298788 0.663528 0.578829
242 0.297294 0.710459 0.670204
243 0.295807 0.79556 0.580536
244 0.294328 0.863932 0.625158
245 0.292856 0.812917 0.691984
246 0.291392 0.849135 0.642887
247 0.289935 0.765642 0.647394
248 0.288486 0.705621 0.717349
249 0.287043 0.705621 0.717349
250 0.285608 0.770174 0.791328
251 0.28418 0.741015 0.720119
252 0.282759 0.642355 0.735719
253 0.281345 0.741432 0.797281
254 0.279938 0.685968 0.795189
255 0.278539 0.664245 0.856441
256 0.277146 0.584033 0.772282
257 0.27576 0.661057 0.748372
258 0.274382 0.655284 0.677971
259 0.27301 0.736314 0.730785
260 0.271645 0.685637 0.714233
261 0.270286 0.774625 0.80815
262 0.268935 0.707061 0.724292
263 0.26759 0.772821 0.654782
264 0.266252 0.756402 0.630737
265 0.264921 0.763014 0.555191
266 0.263596 0.831298 0.555385
267 0.262278 0.864558 0.530461
268 0.260967 0.938652 0.565129
269 0.259662 0.938652 0.565129
270 0.258364 0.931494 0.586689
271 0.257072 0.986699 0.521986
272 0.255787 1.0413 0.563326
273 0.254508 1.039 0.490326
274 0.253235 1.05012 0.567898
275 0.251969 1.12817 0.615772
276 0.250709 1.03981 0.591877
277 0.249456 1.00308 0.686884
278 0.248208 1.00308 0.686884
279 0.246967 1.00308 0.686884
280 0.245733 1.00308 0.686884
281 0.244504 1.00308 0.686884
282 0.243281 1.08514 0.607173
283 0.242065 0.999132 0.682569
284 0.240855 0.999132 0.682569
285 0.23965 0.935428 0.700364
286 0.238452 0.936838 0.607145
287 0.23726 0.936838 0.607145
288 0.236074 0.911172 0.699092
289 0.234893 0.889682 0.698927
290 0.233719 0.881197 0.643694
291 0.23255 0.917595 0.584657
292 0.231387 1.0094 0.67269
293 0.23023 1.04866 0.587083
294 0.229079 1.03251 0.570138
295 0.227934 1.00337 0.525466
296 0.226794 0.991389 0.605935
297 0.22566 1.00369 0.603487
298 0.224532 0.943617 0.653739
299 0.223409 1.0018 0.623395
300 0.222292 1.0018 0.623395
301 0.221181 1.05778 0.604946
302 0.220075 1.10632 0.564321
303 0.218974 1.10632 0.564321
304 0.21788 1.10632 0.564321
305 0.21679 1.10632 0.564321
306 0.215706 1.10632 0.564321
307 0.214628 1.10632 0.564321
308 0.213555 1.12118 0.565059
309 0.212487 1.07586 0.53956
310 0.211424 1.05809 0.543579
311 0.210367 1.05059 0.572596
312 0.209315 1.0709 0.539736
313 0.208269 1.0709 0.539736
314 0.207227 1.0709 0.539736
315 0.206191 1.0709 0.539736
316 0.20516 1.08806 0.494969
317 0.204135 1.17396 0.549113
318 0.203114 1.14023 0.584086
319 0.202098 1.09137 0.587373
320 0.201088 1.12547 0.666335
321 0.200082 1.12547 0.666335
322 0.199082 1.12547 0.666335
323 0.198087 1.12547 0.666335
324 0.197096 1.06575 0.722564
325 0.196111 1.03288 0.642173
326 0.19513 1.03288 0.642173
327 0.194154 1.09675 0.546609
328 0.193184 1.09194 0.567581
329 0.192218 1.07192 0.578775
330 0.191257 1.07444 0.676967
331 0.1903 1.04794 0.58642
332 0.189349 1.01614 0.600773
333 0.188402 1.01614 0.600773
334 0.18746 0.984109 0.548183
335 0.186523 0.940205 0.519927
336 0.18559 0.862892 0.596769
337 0.184662 0.88063 0.524173
338 0.183739 0.939252 0.432114
339 0.18282 0.849095 0.432626
340 0.181906 0.849095 0.432626
341 0.180997 0.940128 0.43884
342 0.180092 0.940128 0.43884
343 0.179191 1.0397 0.515152
344 0.178295 1.0397 0.515152
345 0.177404 1.05649 0.429259
346 0.176517 1.05649 0.429259
347 0.175634 1.14464 0.514223
348 0.174756 1.06101 0.505075
349 0.173882 0.994447 0.468373
350 0.173013 0.924357 0.548142
351 0.172148 0.891955 0.617044
352 0.171287 0.961744 0.582971
353 0.170431 0.8647 0.584818
354 0.169578 0.932418 0.644478
355 0.168731 0.956902 0.579457
356 0.167887 0.956902 0.579457
357 0.167047 0.914787 0.525444
358 0.166212 0.914787 0.525444
359 0.165381 0.864737 0.54452
360 0.164554 0.864737 0.54452
361 0.163731 0.881037 0.563209
362 0.162913 0.881037 0.563209
363 0.162098 0.862196 0.580274
364 0.161288 0.794493 0.578366
365 0.160481 0.761269 0.673742
366 0.159679 0.82954 0.685963
367 0.158881 0.82954 0.685963
368 0.158086 0.745766 0.645198
369 0.157296 0.748445 0.661237
370 0.156509 0.725645 0.720742
371 0.155727 0.804409 0.710012
372 0.154948 0.886452 0.687932
373 0.154173 0.886452 0.687932
374 0.153402 0.814314 0.599552
375 0.152635 0.814314 0.599552
376 0.151872 0.825202 0.553539
377 0.151113 0.892887 0.64185
378 0.150357 0.892887 0.64185
379 0.149606 0.799631 0.715719
380 0.148857 0.764956 0.6342
381 0.148113 0.70058 0.546267
382 0.147373 0.70058 0.546267
383 0.146636 0.646578 0.52219
384 0.145903 0.698806 0.562194
385 0.145173 0.602845 0.657656
386 0.144447 0.537226 0.598693
387 0.143725 0.635712 0.566114
388 0.143006 0.695182 0.653917
389 0.142291 0.695182 0.653917
390 0.14158 0.695182 0.653917
391 0.140872 0.695182 0.653917
392 0.140168 0.640869 0.719447
393 0.139467 0.68938 0.714252
394 0.138769 0.687481 0.636163
395 0.138076 0.702753 0.59979
396 0.137385 0.677234 0.625374
397 0.136698 0.724836 0.611969
398 0.136015 0.739369 0.534712
399 0.135335 0.734237 0.526866
400 0.134658 0.815614 0.527711
401 0.133985 0.854048 0.551426
402 0.133315 0.86335 0.603097
403 0.132648 0.81893 0.660569
