=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    34
Population Size:     200
Total Generations:   200
Map Shape:           Square
=========================================

Generation | Best Fitness
-----------------------------------------
Generation 0 | Best Fitness: 14.0915
Generation 10 | Best Fitness: 9.80569
Generation 20 | Best Fitness: 7.80925
Generation 30 | Best Fitness: 6.80493
Generation 40 | Best Fitness: 6.17148
Generation 50 | Best Fitness: 5.63717
Generation 60 | Best Fitness: 5.51831
Generation 70 | Best Fitness: 5.41042
Generation 80 | Best Fitness: 5.27883
Generation 90 | Best Fitness: 5.25008
Generation 100 | Best Fitness: 5.25008
Generation 110 | Best Fitness: 5.09026
Generation 120 | Best Fitness: 5.09026
Generation 130 | Best Fitness: 5.09026
Generation 140 | Best Fitness: 5.09026
Generation 150 | Best Fitness: 5.09026
Generation 160 | Best Fitness: 5.09026
Generation 170 | Best Fitness: 5.09026
Generation 180 | Best Fitness: 5.09026
Generation 190 | Best Fitness: 5.09026
Generation 200 | Best Fitness: 5.09026
-----------------------------------------
Evolution complete! Master log saved to: poplog_N34_Pop200_Gen200_Square_synth.dat
