=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     100
Total Generations:   2000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
-----------------------------------------
Generation 0 | Best Fitness: 443.249
Generation 1 | Best Fitness: 432.624
Generation 2 | Best Fitness: 417.625
Generation 3 | Best Fitness: 401.128
Generation 4 | Best Fitness: 400.157
Generation 5 | Best Fitness: 390.884
Generation 6 | Best Fitness: 384.606
Generation 7 | Best Fitness: 376.939
Generation 8 | Best Fitness: 366.448
Generation 9 | Best Fitness: 361.911
Generation 10 | Best Fitness: 359.409
Generation 11 | Best Fitness: 352.67
Generation 12 | Best Fitness: 350.117
Generation 13 | Best Fitness: 345.594
Generation 14 | Best Fitness: 334.9
Generation 15 | Best Fitness: 334.9
Generation 16 | Best Fitness: 333.943
Generation 17 | Best Fitness: 326.053
Generation 18 | Best Fitness: 323.393
Generation 19 | Best Fitness: 320.97
Generation 20 | Best Fitness: 317.286
Generation 21 | Best Fitness: 311.789
Generation 22 | Best Fitness: 304.118
Generation 23 | Best Fitness: 304.118
Generation 24 | Best Fitness: 303.709
Generation 25 | Best Fitness: 299.168
Generation 26 | Best Fitness: 298.075
Generation 27 | Best Fitness: 295.502
Generation 28 | Best Fitness: 293.778
Generation 29 | Best Fitness: 291.167
Generation 30 | Best Fitness: 289.7
Generation 31 | Best Fitness: 286.349
Generation 32 | Best Fitness: 282.146
Generation 33 | Best Fitness: 281.702
Generation 34 | Best Fitness: 279.842
Generation 35 | Best Fitness: 265.033
Generation 36 | Best Fitness: 263.838
Generation 37 | Best Fitness: 263.838
Generation 38 | Best Fitness: 262.55
Generation 39 | Best Fitness: 259.107
Generation 40 | Best Fitness: 254.484
Generation 41 | Best Fitness: 254.484
Generation 42 | Best Fitness: 250.226
Generation 43 | Best Fitness: 249.726
Generation 44 | Best Fitness: 245.359
Generation 45 | Best Fitness: 244.467
Generation 46 | Best Fitness: 238.017
Generation 47 | Best Fitness: 238.017
Generation 48 | Best Fitness: 234.134
Generation 49 | Best Fitness: 229.473
Generation 50 | Best Fitness: 225.596
Generation 51 | Best Fitness: 224.308
Generation 52 | Best Fitness: 220.18
Generation 53 | Best Fitness: 219.578
Generation 54 | Best Fitness: 219.578
Generation 55 | Best Fitness: 217.142
Generation 56 | Best Fitness: 217.142
Generation 57 | Best Fitness: 215.427
Generation 58 | Best Fitness: 214.275
Generation 59 | Best Fitness: 214.275
Generation 60 | Best Fitness: 210.881
Generation 61 | Best Fitness: 210.566
Generation 62 | Best Fitness: 208.753
Generation 63 | Best Fitness: 208.753
Generation 64 | Best Fitness: 206.162
Generation 65 | Best Fitness: 202.501
Generation 66 | Best Fitness: 202.501
Generation 67 | Best Fitness: 202.501
Generation 68 | Best Fitness: 202.501
Generation 69 | Best Fitness: 201.503
Generation 70 | Best Fitness: 200.414
Generation 71 | Best Fitness: 200.318
Generation 72 | Best Fitness: 199.849
Generation 73 | Best Fitness: 199.355
Generation 74 | Best Fitness: 199.355
Generation 75 | Best Fitness: 198.832
Generation 76 | Best Fitness: 198.832
Generation 77 | Best Fitness: 198.599
Generation 78 | Best Fitness: 197.574
Generation 79 | Best Fitness: 197.574
Generation 80 | Best Fitness: 195.453
Generation 81 | Best Fitness: 195.453
Generation 82 | Best Fitness: 194.339
Generation 83 | Best Fitness: 192.927
Generation 84 | Best Fitness: 192.927
Generation 85 | Best Fitness: 191.842
Generation 86 | Best Fitness: 191.003
Generation 87 | Best Fitness: 191.003
Generation 88 | Best Fitness: 190.74
Generation 89 | Best Fitness: 188.55
Generation 90 | Best Fitness: 188.55
Generation 91 | Best Fitness: 187.586
Generation 92 | Best Fitness: 187.586
Generation 93 | Best Fitness: 186.49
Generation 94 | Best Fitness: 186.49
Generation 95 | Best Fitness: 185.618
Generation 96 | Best Fitness: 183.843
Generation 97 | Best Fitness: 182.474
Generation 98 | Best Fitness: 182.474
Generation 99 | Best Fitness: 181.741
Generation 100 | Best Fitness: 180.54
Generation 101 | Best Fitness: 180.106
Generation 102 | Best Fitness: 180.106
Generation 103 | Best Fitness: 178.933
Generation 104 | Best Fitness: 176.829
Generation 105 | Best Fitness: 175.388
Generation 106 | Best Fitness: 173.745
Generation 107 | Best Fitness: 168.624
Generation 108 | Best Fitness: 166.599
Generation 109 | Best Fitness: 166.492
Generation 110 | Best Fitness: 166.087
Generation 111 | Best Fitness: 164.792
Generation 112 | Best Fitness: 164.792
Generation 113 | Best Fitness: 164.525
Generation 114 | Best Fitness: 164.525
Generation 115 | Best Fitness: 164.525
Generation 116 | Best Fitness: 164.525
Generation 117 | Best Fitness: 164.525
Generation 118 | Best Fitness: 162.698
Generation 119 | Best Fitness: 162.698
Generation 120 | Best Fitness: 160.564
Generation 121 | Best Fitness: 157.012
Generation 122 | Best Fitness: 157.012
Generation 123 | Best Fitness: 154.848
Generation 124 | Best Fitness: 154.848
Generation 125 | Best Fitness: 154.848
Generation 126 | Best Fitness: 149.343
Generation 127 | Best Fitness: 149.343
Generation 128 | Best Fitness: 149.343
Generation 129 | Best Fitness: 149.343
Generation 130 | Best Fitness: 148.105
Generation 131 | Best Fitness: 147.86
Generation 132 | Best Fitness: 147.86
Generation 133 | Best Fitness: 147.86
Generation 134 | Best Fitness: 147.25
Generation 135 | Best Fitness: 145.12
Generation 136 | Best Fitness: 144.51
Generation 137 | Best Fitness: 143.195
Generation 138 | Best Fitness: 142.936
Generation 139 | Best Fitness: 142.211
Generation 140 | Best Fitness: 142.211
Generation 141 | Best Fitness: 142.211
Generation 142 | Best Fitness: 142.211
Generation 143 | Best Fitness: 142.211
Generation 144 | Best Fitness: 142.211
Generation 145 | Best Fitness: 141.375
Generation 146 | Best Fitness: 136.369
Generation 147 | Best Fitness: 136.369
Generation 148 | Best Fitness: 136.369
Generation 149 | Best Fitness: 135.76
Generation 150 | Best Fitness: 135.76
Generation 151 | Best Fitness: 135.76
Generation 152 | Best Fitness: 135.76
Generation 153 | Best Fitness: 135.138
Generation 154 | Best Fitness: 135.138
Generation 155 | Best Fitness: 135.138
Generation 156 | Best Fitness: 133.773
Generation 157 | Best Fitness: 133.773
Generation 158 | Best Fitness: 133.773
Generation 159 | Best Fitness: 132.877
Generation 160 | Best Fitness: 132.877
Generation 161 | Best Fitness: 132.868
Generation 162 | Best Fitness: 132.868
Generation 163 | Best Fitness: 132.868
Generation 164 | Best Fitness: 132.837
Generation 165 | Best Fitness: 132.702
Generation 166 | Best Fitness: 131.648
Generation 167 | Best Fitness: 131.483
Generation 168 | Best Fitness: 131.467
Generation 169 | Best Fitness: 130.768
Generation 170 | Best Fitness: 130.753
Generation 171 | Best Fitness: 130.563
Generation 172 | Best Fitness: 130.012
Generation 173 | Best Fitness: 130.012
Generation 174 | Best Fitness: 129.476
Generation 175 | Best Fitness: 128.711
Generation 176 | Best Fitness: 128.463
Generation 177 | Best Fitness: 127.872
Generation 178 | Best Fitness: 127.872
Generation 179 | Best Fitness: 127.872
Generation 180 | Best Fitness: 127.872
Generation 181 | Best Fitness: 127.146
Generation 182 | Best Fitness: 127.146
Generation 183 | Best Fitness: 127.146
Generation 184 | Best Fitness: 127.146
Generation 185 | Best Fitness: 126.975
Generation 186 | Best Fitness: 124.831
Generation 187 | Best Fitness: 124.441
Generation 188 | Best Fitness: 124.441
Generation 189 | Best Fitness: 124.418
Generation 190 | Best Fitness: 124.418
Generation 191 | Best Fitness: 124.418
Generation 192 | Best Fitness: 124.13
Generation 193 | Best Fitness: 122.467
Generation 194 | Best Fitness: 122.467
Generation 195 | Best Fitness: 122.254
Generation 196 | Best Fitness: 122.199
Generation 197 | Best Fitness: 121.838
Generation 198 | Best Fitness: 121.838
Generation 199 | Best Fitness: 121.838
Generation 200 | Best Fitness: 121.838
Generation 201 | Best Fitness: 121.838
Generation 202 | Best Fitness: 120.359
Generation 203 | Best Fitness: 120.359
Generation 204 | Best Fitness: 120.21
Generation 205 | Best Fitness: 120.21
Generation 206 | Best Fitness: 119.681
Generation 207 | Best Fitness: 119.681
Generation 208 | Best Fitness: 119.388
Generation 209 | Best Fitness: 119.388
Generation 210 | Best Fitness: 119.388
Generation 211 | Best Fitness: 119.207
Generation 212 | Best Fitness: 119.207
Generation 213 | Best Fitness: 118.97
Generation 214 | Best Fitness: 118.697
Generation 215 | Best Fitness: 118.697
Generation 216 | Best Fitness: 118.697
Generation 217 | Best Fitness: 118.697
Generation 218 | Best Fitness: 118.697
Generation 219 | Best Fitness: 118.697
Generation 220 | Best Fitness: 118.697
Generation 221 | Best Fitness: 118.697
Generation 222 | Best Fitness: 118.21
Generation 223 | Best Fitness: 118.21
Generation 224 | Best Fitness: 118.21
Generation 225 | Best Fitness: 118.21
Generation 226 | Best Fitness: 118.123
Generation 227 | Best Fitness: 117.702
Generation 228 | Best Fitness: 117.702
Generation 229 | Best Fitness: 117.226
Generation 230 | Best Fitness: 117.062
Generation 231 | Best Fitness: 116.979
Generation 232 | Best Fitness: 116.956
Generation 233 | Best Fitness: 116.632
Generation 234 | Best Fitness: 116.632
Generation 235 | Best Fitness: 116.241
Generation 236 | Best Fitness: 114.307
Generation 237 | Best Fitness: 114.298
Generation 238 | Best Fitness: 114.298
Generation 239 | Best Fitness: 113.381
Generation 240 | Best Fitness: 113.167
Generation 241 | Best Fitness: 113.007
Generation 242 | Best Fitness: 111.957
Generation 243 | Best Fitness: 111.957
Generation 244 | Best Fitness: 110.653
Generation 245 | Best Fitness: 110.653
Generation 246 | Best Fitness: 110.653
Generation 247 | Best Fitness: 110.653
Generation 248 | Best Fitness: 110.653
Generation 249 | Best Fitness: 110.653
Generation 250 | Best Fitness: 108.493
Generation 251 | Best Fitness: 108.493
Generation 252 | Best Fitness: 108.493
Generation 253 | Best Fitness: 107.943
Generation 254 | Best Fitness: 107.943
Generation 255 | Best Fitness: 107.943
Generation 256 | Best Fitness: 106.812
Generation 257 | Best Fitness: 106.812
Generation 258 | Best Fitness: 106.812
Generation 259 | Best Fitness: 106.812
Generation 260 | Best Fitness: 106.812
Generation 261 | Best Fitness: 106.812
Generation 262 | Best Fitness: 106.812
Generation 263 | Best Fitness: 106.812
Generation 264 | Best Fitness: 106.812
Generation 265 | Best Fitness: 106.812
Generation 266 | Best Fitness: 106.812
Generation 267 | Best Fitness: 106.812
Generation 268 | Best Fitness: 106.142
Generation 269 | Best Fitness: 106.142
Generation 270 | Best Fitness: 106.142
Generation 271 | Best Fitness: 106.142
Generation 272 | Best Fitness: 106.142
Generation 273 | Best Fitness: 104.84
Generation 274 | Best Fitness: 104.84
Generation 275 | Best Fitness: 104.84
Generation 276 | Best Fitness: 104.84
Generation 277 | Best Fitness: 104.84
Generation 278 | Best Fitness: 104.84
Generation 279 | Best Fitness: 104.84
Generation 280 | Best Fitness: 103.455
Generation 281 | Best Fitness: 102.728
Generation 282 | Best Fitness: 100.958
Generation 283 | Best Fitness: 100.958
Generation 284 | Best Fitness: 100.817
Generation 285 | Best Fitness: 100.817
Generation 286 | Best Fitness: 100.817
Generation 287 | Best Fitness: 100.817
Generation 288 | Best Fitness: 100.804
Generation 289 | Best Fitness: 100.471
Generation 290 | Best Fitness: 100.471
Generation 291 | Best Fitness: 100.471
Generation 292 | Best Fitness: 99.9753
Generation 293 | Best Fitness: 99.9753
Generation 294 | Best Fitness: 99.9753
Generation 295 | Best Fitness: 99.8957
Generation 296 | Best Fitness: 99.8311
Generation 297 | Best Fitness: 99.8311
Generation 298 | Best Fitness: 99.8311
Generation 299 | Best Fitness: 99.3701
Generation 300 | Best Fitness: 99.3701
Generation 301 | Best Fitness: 99.3701
Generation 302 | Best Fitness: 99.3701
Generation 303 | Best Fitness: 98.0829
Generation 304 | Best Fitness: 98.0829
Generation 305 | Best Fitness: 98.0829
Generation 306 | Best Fitness: 98.0829
Generation 307 | Best Fitness: 98.0829
Generation 308 | Best Fitness: 98.0829
Generation 309 | Best Fitness: 98.0829
Generation 310 | Best Fitness: 98.0829
Generation 311 | Best Fitness: 97.199
Generation 312 | Best Fitness: 96.5393
Generation 313 | Best Fitness: 96.5393
Generation 314 | Best Fitness: 96.5393
Generation 315 | Best Fitness: 96.5393
Generation 316 | Best Fitness: 96.5393
Generation 317 | Best Fitness: 96.5393
Generation 318 | Best Fitness: 96.5393
Generation 319 | Best Fitness: 96.3756
Generation 320 | Best Fitness: 96.3756
Generation 321 | Best Fitness: 95.9007
Generation 322 | Best Fitness: 95.8085
Generation 323 | Best Fitness: 95.8085
Generation 324 | Best Fitness: 95.7412
