=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     700
Total Generations:   3000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
-----------------------------------------
Generation 0 | Best Fitness: 432.547
Generation 1 | Best Fitness: 414.089
Generation 2 | Best Fitness: 397.538
Generation 3 | Best Fitness: 386.616
Generation 4 | Best Fitness: 373.301
Generation 5 | Best Fitness: 353.665
Generation 6 | Best Fitness: 352.435
Generation 7 | Best Fitness: 340.398
Generation 8 | Best Fitness: 327.12
Generation 9 | Best Fitness: 322.666
Generation 10 | Best Fitness: 311.073
Generation 11 | Best Fitness: 307.662
Generation 12 | Best Fitness: 296.012
Generation 13 | Best Fitness: 292.314
Generation 14 | Best Fitness: 287.859
Generation 15 | Best Fitness: 278.851
Generation 16 | Best Fitness: 271.344
Generation 17 | Best Fitness: 265.196
Generation 18 | Best Fitness: 261.213
Generation 19 | Best Fitness: 257.481
Generation 20 | Best Fitness: 251.44
Generation 21 | Best Fitness: 246.596
Generation 22 | Best Fitness: 244.341
Generation 23 | Best Fitness: 237.814
Generation 24 | Best Fitness: 234.497
Generation 25 | Best Fitness: 231.176
Generation 26 | Best Fitness: 229.185
Generation 27 | Best Fitness: 227.398
Generation 28 | Best Fitness: 224.932
Generation 29 | Best Fitness: 220.69
Generation 30 | Best Fitness: 215.891
Generation 31 | Best Fitness: 213.22
Generation 32 | Best Fitness: 211.376
Generation 33 | Best Fitness: 210.185
Generation 34 | Best Fitness: 207.928
Generation 35 | Best Fitness: 202.986
Generation 36 | Best Fitness: 200.438
Generation 37 | Best Fitness: 198.706
Generation 38 | Best Fitness: 196.218
Generation 39 | Best Fitness: 195.667
Generation 40 | Best Fitness: 193.215
Generation 41 | Best Fitness: 192.052
Generation 42 | Best Fitness: 189.973
Generation 43 | Best Fitness: 188.942
Generation 44 | Best Fitness: 186.76
Generation 45 | Best Fitness: 182.881
Generation 46 | Best Fitness: 182.222
Generation 47 | Best Fitness: 181.367
Generation 48 | Best Fitness: 178.069
Generation 49 | Best Fitness: 175.655
Generation 50 | Best Fitness: 174.42
Generation 51 | Best Fitness: 172.908
Generation 52 | Best Fitness: 171.679
Generation 53 | Best Fitness: 170.382
Generation 54 | Best Fitness: 168.028
Generation 55 | Best Fitness: 167.24
Generation 56 | Best Fitness: 164.411
Generation 57 | Best Fitness: 162.239
Generation 58 | Best Fitness: 160.898
Generation 59 | Best Fitness: 160.175
Generation 60 | Best Fitness: 158.709
Generation 61 | Best Fitness: 158.132
Generation 62 | Best Fitness: 157.42
Generation 63 | Best Fitness: 155.483
Generation 64 | Best Fitness: 152.345
Generation 65 | Best Fitness: 151.659
Generation 66 | Best Fitness: 150.759
Generation 67 | Best Fitness: 150.085
Generation 68 | Best Fitness: 147.709
Generation 69 | Best Fitness: 145.828
Generation 70 | Best Fitness: 144.264
Generation 71 | Best Fitness: 143.846
Generation 72 | Best Fitness: 143.816
Generation 73 | Best Fitness: 139.972
Generation 74 | Best Fitness: 138.452
Generation 75 | Best Fitness: 138.298
Generation 76 | Best Fitness: 138.058
Generation 77 | Best Fitness: 137.295
Generation 78 | Best Fitness: 136.317
Generation 79 | Best Fitness: 135.765
Generation 80 | Best Fitness: 135.153
Generation 81 | Best Fitness: 133.348
Generation 82 | Best Fitness: 133.137
Generation 83 | Best Fitness: 131.331
Generation 84 | Best Fitness: 130.941
Generation 85 | Best Fitness: 130.022
Generation 86 | Best Fitness: 129.275
Generation 87 | Best Fitness: 128.355
Generation 88 | Best Fitness: 127.74
Generation 89 | Best Fitness: 127.271
Generation 90 | Best Fitness: 126.742
Generation 91 | Best Fitness: 126.059
Generation 92 | Best Fitness: 126.059
Generation 93 | Best Fitness: 124.785
Generation 94 | Best Fitness: 120.395
Generation 95 | Best Fitness: 119.309
Generation 96 | Best Fitness: 117.954
Generation 97 | Best Fitness: 117.793
Generation 98 | Best Fitness: 117.339
Generation 99 | Best Fitness: 116.886
Generation 100 | Best Fitness: 116.332
Generation 101 | Best Fitness: 114.403
Generation 102 | Best Fitness: 113.943
Generation 103 | Best Fitness: 113.782
Generation 104 | Best Fitness: 112.916
Generation 105 | Best Fitness: 112.013
Generation 106 | Best Fitness: 110.222
Generation 107 | Best Fitness: 109.07
Generation 108 | Best Fitness: 109.07
Generation 109 | Best Fitness: 109.027
Generation 110 | Best Fitness: 109.027
Generation 111 | Best Fitness: 108.14
Generation 112 | Best Fitness: 107.867
Generation 113 | Best Fitness: 107.867
Generation 114 | Best Fitness: 107.325
Generation 115 | Best Fitness: 106.789
Generation 116 | Best Fitness: 106.789
Generation 117 | Best Fitness: 105.865
Generation 118 | Best Fitness: 105.046
Generation 119 | Best Fitness: 104.87
Generation 120 | Best Fitness: 104.139
Generation 121 | Best Fitness: 104.139
Generation 122 | Best Fitness: 103.92
Generation 123 | Best Fitness: 103.025
Generation 124 | Best Fitness: 103.025
Generation 125 | Best Fitness: 103.025
